BILLER,SERVICE_CHARGE,CASH,GCASH,MAYA,BAYAD,BPI CREDIT CARD,BPI,LATE_CHARGE,ACCOUNT_DIGITS,IS_ACTIVE
MERALCO,15,0,0,0,5.39,0,0,35,10,1
CONVERGE,25,0,12,12,5.39,0,0,0,13,1
PLDT FIBER,25,0,0,7,5.39,0,0,0,10,1
SSS,30,0,8,0,5.39,0,0,0,14,1
GLOBE AT HOME,25,0,7,7,5.39,0,0,0,10,1
STA MARIA WATER,15,0,10,5,5.39,0,0,0,11,1
PLDT,25,0,7,7,5.39,0,0,0,10,1
SMART POSTPAID,25,0,7,7,5.39,0,0,0,10,1
BPICC,25,0,0,0,5.39,0,0,0,16,1
PSA,30,0,0,0,5.39,0,0,0,16,0
PRIME WATER,25,0,0,0,5.39,0,0,0,12,1
GLOBE POSTPAID,25,0,0,0,5.39,0,0,0,10,1
EASY TRIP,25,0,0,0,5.39,0,0,0,14,1
AUTO SWEEP RFID,25,0,0,0,5.39,0,0,0,7,0
SUN POSTPAID,25,0,0,0,5.39,0,0,0,10,1
NORZAGARAY WATER DISTRICT,25,0,0,0,5.39,0,0,0,8,1
